interval,rtt
90000,130855
90000,40688
90000,2311
90000,3688
90000,8029
90000,3940
90000,2702
90000,2766
90000,2876
90000,3932
90000,2829
90000,3124
90000,5026
90000,4180
90000,2819
90000,2832
90000,2823
90000,3986
90000,2795
90000,2991
90000,2642
90000,2748
90000,2704
90000,2734
90000,4552
90000,2858
90000,2913
90000,3667
90000,3962
90000,2702
90000,4662
90000,3070
90000,4859
90000,3064
90000,5169
90000,3209
90000,4221
90000,2913
90000,3764
90000,2664
90000,4195
90000,2668
90000,3177
90000,5253
90000,4344
90000,2846
90000,3594
90000,2781
90000,4067
90000,2543
90000,5479
90000,2852
90000,4979
90000,3599
90000,2816
90000,2804
90000,4041
90000,2742
90000,2774
90000,5091
90000,4058
90000,3116
90000,2817
90000,2888
90000,4015
90000,2763
90000,2776
90000,3725
90000,3893
90000,3751
90000,2614
90000,2796
90000,4054
90000,2653
90000,2935
90000,2879
90000,5120
90000,2861
90000,2672
90000,3274
90000,4168
90000,2903
90000,3751
90000,2772
90000,4020
90000,2863
90000,3953
90000,5885
90000,3927
90000,2781
90000,2861
90000,3565
90000,4085
90000,3684
90000,2732
90000,2973
90000,4058
90000,3051
90000,2843
90000,3128
