interval,rtt
10000,124845
10000,114726
10000,104614
10000,94543
10000,84469
10000,74396
10000,64329
10000,54258
10000,44177
10000,34002
10000,23824
10000,13711
10000,3624
10000,2478
10000,2370
10000,2389
10000,2329
10000,2437
10000,2164
10000,2303
10000,2217
10000,2252
10000,2223
10000,2248
10000,2249
10000,2270
10000,2319
10000,2324
10000,4254
10000,2407
10000,2331
10000,2088
10000,1903
10000,2763
10000,1924
10000,2013
10000,2140
10000,2032
10000,3032
10000,2006
10000,2010
10000,1983
10000,3106
10000,1986
10000,3912
10000,2079
10000,2114
10000,2248
10000,2076
10000,2857
10000,2326
10000,2021
10000,2018
10000,2190
10000,2001
10000,2086
10000,1984
10000,1926
10000,2114
10000,1909
10000,3932
10000,2375
10000,1952
10000,1881
10000,1935
10000,1924
10000,2005
10000,2035
10000,2054
10000,1951
10000,2413
10000,2025
10000,3632
10000,2018
10000,1897
10000,2069
10000,3874
10000,1910
10000,1908
10000,2119
10000,1973
10000,1931
10000,2686
10000,2005
10000,1969
10000,1935
10000,1933
10000,2116
10000,1962
10000,1947
10000,2023
10000,1933
10000,3976
10000,2014
10000,1974
10000,2075
10000,2246
10000,2102
10000,1967
10000,2030
