interval,rtt
80000,118915
80000,38678
80000,4404
80000,70151
80000,176986
80000,96848
80000,39049
80000,18727
80000,33019
80000,33738
80000,53387
80000,35323
80000,22749
80000,33108
80000,39006
80000,50786
80000,41248
80000,25586
80000,34360
80000,10302
80000,34460
80000,61254
80000,3493
80000,2776
80000,5110
80000,2805
80000,3317
80000,2849
80000,2792
80000,2852
80000,2630
80000,3047
80000,3015
80000,3366
80000,4046
80000,5025
80000,2955
80000,4825
80000,3764
80000,5292
80000,2997
80000,2817
80000,2829
80000,3712
80000,3654
80000,5350
80000,2903
80000,7155
80000,3093
80000,6473
80000,2595
80000,3697
80000,3065
80000,2819
80000,4867
80000,3565
80000,3640
80000,2633
80000,3759
80000,3104
80000,2573
80000,5874
80000,7899
80000,3748
80000,4910
80000,4101
80000,3012
80000,2822
80000,4416
80000,4781
80000,2620
80000,2654
80000,2668
80000,3992
80000,2806
80000,3066
80000,2521
80000,4276
80000,2820
80000,3018
80000,2730
80000,4063
80000,2893
80000,2821
80000,2871
80000,4107
80000,9083
80000,2884
80000,3127
80000,2636
80000,35457
80000,2733
80000,2676
80000,3928
80000,3060
80000,2840
80000,2676
80000,4429
80000,5538
80000,3264
