interval,rtt
120000,138453
120000,18375
120000,3550
120000,192019
120000,71828
120000,2890
120000,136551
120000,16406
120000,2666
120000,83407
120000,2337
120000,43303
120000,4982
120000,215680
120000,95450
120000,2639
120000,59355
120000,5633
120000,129227
120000,9003
120000,194535
120000,74399
120000,2807
120000,143165
120000,22974
120000,3051
120000,190137
120000,69961
120000,2503
120000,134830
120000,14739
120000,99024
120000,2775
120000,167199
120000,47080
120000,2856
120000,113786
120000,4385
120000,75881
120000,2726
120000,146839
120000,26660
120000,4977
120000,92566
120000,2798
120000,2896
120000,8972
120000,225873
120000,105688
120000,2756
120000,70732
120000,2751
120000,136564
120000,16426
120000,100772
120000,2911
120000,171433
120000,51250
120000,3186
120000,116040
120000,2658
120000,182491
120000,62380
120000,2604
120000,130430
120000,10309
120000,91238
120000,2821
120000,161044
120000,40918
120000,2692
120000,118259
120000,2883
120000,70976
120000,6661
120000,3005
120000,2674
120000,102817
120000,2952
120000,170086
120000,49977
120000,3049
120000,222896
120000,102715
120000,2707
120000,167751
120000,47564
120000,2895
120000,213526
120000,93416
120000,2821
120000,161494
120000,41312
120000,2830
120000,208091
120000,87973
120000,2938
120000,157409
120000,37303
120000,2733
