interval,rtt
130000,125315
130000,4018
130000,70992
130000,3201
130000,119186
130000,6158
130000,59786
130000,5275
130000,109822
130000,6629
130000,50624
130000,3278
130000,4475
130000,71049
130000,2730
130000,117888
130000,2564
130000,61717
130000,3865
130000,214778
130000,84679
130000,2796
130000,130373
130000,2166
130000,70993
130000,2716
130000,120565
130000,2764
130000,167025
130000,36926
130000,3732
130000,84341
130000,2980
130000,129550
130000,2263
130000,76312
130000,2882
130000,123168
130000,2530
130000,67356
130000,3029
130000,113576
130000,2921
130000,63618
130000,4441
130000,207743
130000,77558
130000,6559
130000,125150
130000,2568
130000,67092
130000,3672
130000,116149
130000,2666
130000,58777
130000,3581
130000,108425
130000,2783
130000,51722
130000,2833
130000,99360
130000,2495
130000,41841
130000,3205
130000,90223
130000,3201
130000,138039
130000,7843
130000,80413
130000,4741
130000,129853
130000,3080
130000,73371
130000,8127
130000,120297
130000,2682
130000,61632
130000,4743
130000,111086
130000,2508
130000,54219
130000,5792
130000,104952
130000,3757
130000,47595
130000,6367
130000,197354
130000,67252
130000,3256
130000,113147
130000,5001
130000,57437
130000,2746
130000,178217
130000,48113
130000,3275
130000,2754
130000,200295
130000,70216
130000,2787
