interval,rtt
10000,102116
10000,91878
10000,81635
10000,71396
10000,61156
10000,50889
10000,40656
10000,30423
10000,20182
10000,9977
10000,2675
10000,4339
10000,2517
10000,3065
10000,2349
10000,2342
10000,2366
10000,2761
10000,2245
10000,2460
10000,2239
10000,2223
10000,2560
10000,2306
10000,2355
10000,2324
10000,2372
10000,4362
10000,3423
10000,2277
10000,2245
10000,2263
10000,1967
10000,2357
10000,1980
10000,2193
10000,2055
10000,1933
10000,1986
10000,1991
10000,3684
10000,2286
10000,2159
10000,7315
10000,2365
10000,2269
10000,2359
10000,1966
10000,2398
10000,2318
10000,2128
10000,2315
10000,2272
10000,2491
10000,2104
10000,2285
10000,1963
10000,2285
10000,1938
10000,2392
10000,2831
10000,2571
10000,2134
10000,2402
10000,6055
10000,10487
10000,2192
10000,3531
10000,4128
10000,3396
10000,9033
10000,2024
10000,4503
10000,2803
10000,2308
10000,2134
10000,2589
10000,3077
10000,3250
10000,7463
10000,6526
10000,2413
10000,3256
10000,5887
10000,2290
10000,1990
10000,4731
10000,3641
10000,2779
10000,4672
10000,4083
10000,3929
10000,4476
10000,2223
10000,2435
10000,3604
10000,3384
10000,3575
10000,3183
10000,2261
