interval,rtt
120000,114500
120000,2430
120000,83528
120000,2796
120000,45873
120000,3891
120000,218002
120000,97879
120000,2832
120000,161591
120000,41416
120000,4059
120000,212297
120000,92187
120000,2751
120000,157838
120000,37655
120000,2757
120000,2574
120000,88767
120000,2681
120000,155445
120000,35343
120000,3104
120000,99841
120000,2829
120000,166445
120000,46320
120000,2887
120000,116394
120000,2442
120000,181575
120000,61452
120000,2752
120000,129130
120000,9004
120000,197262
120000,77135
120000,2827
120000,141514
120000,21372
120000,2902
120000,193514
120000,73344
120000,2856
120000,138581
120000,18497
120000,3197
120000,87670
120000,2755
120000,48207
120000,2832
120000,220239
120000,100126
120000,2417
120000,3196
120000,2461
120000,3686
120000,3092
120000,93768
120000,2605
120000,57995
120000,2847
120000,124479
120000,4400
120000,88456
120000,2839
120000,52901
120000,2912
120000,121050
120000,2817
120000,85237
120000,2523
120000,49592
120000,2686
120000,117916
120000,2374
120000,81936
120000,2859
120000,46920
120000,2751
120000,112916
120000,2295
120000,79472
120000,2628
120000,43969
120000,4730
120000,210749
120000,90642
120000,3033
120000,53440
120000,5234
120000,123335
120000,3244
120000,86319
120000,2864
120000,54072
120000,3596
120000,118159
120000,2704
