interval,rtt
40000,110177
40000,70126
40000,30044
40000,2592
40000,2896
40000,2869
40000,2454
40000,2700
40000,2732
40000,4911
40000,2587
40000,6143
40000,3711
40000,3185
40000,2898
40000,2898
40000,2821
40000,3281
40000,3431
40000,6350
40000,2863
40000,3556
40000,2866
40000,2728
40000,4390
40000,2740
40000,2564
40000,3966
40000,2955
40000,2752
40000,2840
40000,2884
40000,2890
40000,2873
40000,3679
40000,4368
40000,2882
40000,2802
40000,3032
40000,2933
40000,2448
40000,2827
40000,2753
40000,3822
40000,4867
40000,2837
40000,2858
40000,2834
40000,2856
40000,4623
40000,2746
40000,3627
40000,2859
40000,2842
40000,2430
40000,7760
40000,2886
40000,2781
40000,2849
40000,4195
40000,2946
40000,3019
40000,3243
40000,2861
40000,2931
40000,3076
40000,2826
40000,4064
40000,2786
40000,2847
40000,2757
40000,2731
40000,2546
40000,2871
40000,2891
40000,4141
40000,2753
40000,2968
40000,2697
40000,2712
40000,2777
40000,2675
40000,4510
40000,3744
40000,2579
40000,2808
40000,2621
40000,3670
40000,9134
40000,5382
40000,6316
40000,7603
40000,4397
40000,2854
40000,2793
40000,5031
40000,7322
40000,4065
40000,3191
40000,6249
