interval,rtt
20000,110180
20000,90060
20000,69973
20000,49878
20000,29803
20000,9715
20000,2652
20000,2499
20000,2696
20000,2572
20000,2647
20000,2719
20000,8903
20000,2231
20000,2447
20000,2811
20000,2785
20000,2811
20000,2516
20000,3704
20000,3199
20000,5569
20000,7237
20000,4751
20000,3716
20000,4067
20000,3769
20000,4419
20000,3110
20000,3145
20000,5377
20000,8114
20000,2625
20000,4094
20000,2720
20000,2565
20000,2468
20000,4058
20000,2532
20000,2786
20000,2743
20000,2499
20000,2959
20000,2799
20000,2349
20000,4162
20000,2256
20000,2210
20000,2158
20000,2222
20000,2121
20000,2072
20000,3386
20000,2414
20000,3985
20000,2221
20000,2293
20000,2492
20000,2431
20000,2395
20000,2976
20000,2341
20000,3395
20000,4233
20000,2572
20000,2377
20000,2486
20000,3566
20000,2304
20000,1969
20000,2323
20000,2444
20000,2186
20000,2291
20000,2111
20000,2181
20000,2754
20000,2004
20000,2004
20000,2835
20000,2088
20000,2093
20000,3745
20000,2321
20000,2357
20000,2326
20000,2015
20000,1963
20000,2616
20000,4100
20000,3002
20000,2357
20000,2085
20000,2290
20000,2139
20000,2214
20000,2465
20000,3319
20000,3220
20000,2379
