interval,rtt
80000,129639
80000,49391
80000,3067
80000,3128
80000,2718
80000,3015
80000,4114
80000,3189
80000,2820
80000,2738
80000,4244
80000,2820
80000,2868
80000,4650
80000,4684
80000,2821
80000,2901
80000,3021
80000,4410
80000,3008
80000,2891
80000,2875
80000,3894
80000,2691
80000,3005
80000,2998
80000,4225
80000,3002
80000,3060
80000,8857
80000,4598
80000,2939
80000,3021
80000,3335
80000,4228
80000,3265
80000,3234
80000,3815
80000,3925
80000,3245
80000,2840
80000,3044
80000,5155
80000,3150
80000,3638
80000,3004
80000,8134
80000,5838
80000,4502
80000,4331
80000,6715
80000,3075
80000,5979
80000,4097
80000,4002
80000,2873
80000,2990
80000,2856
80000,4127
80000,3031
80000,2897
80000,2943
80000,4353
80000,2707
80000,2977
80000,3640
80000,5168
80000,3765
80000,2942
80000,2908
80000,8709
80000,2812
80000,2886
80000,2738
80000,4387
80000,2991
80000,2943
80000,2584
80000,6499
80000,3052
80000,2815
80000,2863
80000,6508
80000,2773
80000,3904
80000,3304
80000,4579
80000,2852
80000,3018
80000,3339
80000,4624
80000,3096
80000,3138
80000,3278
80000,4283
80000,3056
80000,3208
80000,4781
80000,3955
80000,2636
