interval,rtt
10000,109459
10000,99300
10000,89125
10000,79015
10000,68946
10000,58874
10000,48799
10000,38719
10000,28639
10000,18553
10000,8483
10000,2178
10000,2336
10000,2378
10000,2401
10000,3497
10000,2394
10000,2381
10000,4427
10000,2313
10000,2293
10000,2453
10000,2449
10000,2627
10000,3119
10000,2892
10000,2334
10000,2284
10000,2241
10000,2583
10000,2357
10000,2188
10000,2251
10000,2802
10000,2059
10000,2344
10000,2072
10000,2039
10000,3086
10000,2018
10000,1971
10000,3282
10000,2024
10000,1962
10000,2076
10000,2012
10000,1995
10000,4070
10000,2023
10000,2184
10000,2101
10000,2164
10000,1969
10000,2844
10000,2842
10000,2249
10000,2216
10000,2310
10000,2053
10000,1950
10000,3316
10000,2373
10000,2306
10000,2332
10000,2926
10000,2695
10000,2589
10000,2192
10000,2775
10000,2203
10000,3562
10000,3406
10000,3213
10000,1973
10000,2950
10000,1993
10000,2281
10000,2169
10000,5440
10000,2187
10000,2195
10000,1984
10000,2088
10000,2264
10000,2024
10000,2023
10000,2235
10000,2006
10000,1995
10000,2220
10000,2074
10000,1959
10000,2363
10000,1997
10000,2012
10000,2195
10000,2230
10000,1964
10000,1982
10000,2031
