interval,rtt
80000,129866
80000,49688
80000,3124
80000,6897
80000,2841
80000,3164
80000,4297
80000,5674
80000,3042
80000,2857
80000,4200
80000,5008
80000,2885
80000,2662
80000,4147
80000,3038
80000,4887
80000,3168
80000,4292
80000,3069
80000,2911
80000,2793
80000,5952
80000,3369
80000,3066
80000,3227
80000,6136
80000,2951
80000,3063
80000,4458
80000,6134
80000,3158
80000,3649
80000,2680
80000,5981
80000,2777
80000,2961
80000,2627
80000,7288
80000,2944
80000,2874
80000,3329
80000,6300
80000,3287
80000,3314
80000,3068
80000,4412
80000,3020
80000,2690
80000,3186
80000,3850
80000,2804
80000,5168
80000,4151
80000,9089
80000,3374
80000,2880
80000,3474
80000,4529
80000,3290
80000,2765
80000,2860
80000,6033
80000,2619
80000,2774
80000,2869
80000,10972
80000,2822
80000,2940
80000,2786
80000,6346
80000,2915
80000,2782
80000,2777
80000,6190
80000,2833
80000,3156
80000,3233
80000,6237
80000,3886
80000,2951
80000,2811
80000,6137
80000,2874
80000,4475
80000,2806
80000,6034
80000,3003
80000,2848
80000,2973
80000,4581
80000,3156
80000,3222
80000,3239
80000,4015
80000,4987
80000,2908
80000,3067
80000,4298
80000,5213
80000,3203
80000,4220
80000,5011
80000,8500
80000,3185
80000,2749
80000,4092
80000,4843
80000,2847
80000,2739
80000,3948
80000,4675
80000,2882
80000,2776
80000,4230
80000,3599
80000,2708
80000,2521
80000,4196
80000,4991
80000,2769
80000,2909
80000,4069
80000,4682
80000,3049
80000,3266
80000,4735
80000,4748
80000,3118
80000,2859
80000,4611
80000,4706
80000,3133
80000,3074
80000,4052
80000,4961
80000,2753
80000,2887
80000,4312
80000,4765
80000,2921
80000,2837
80000,4478
80000,6416
80000,2977
80000,3345
80000,3640
80000,4890
80000,2523
80000,2866
80000,6132
80000,3718
80000,2810
80000,2850
80000,4052
80000,3096
80000,2850
80000,2789
80000,3690
80000,4771
80000,2797
80000,2911
80000,4250
80000,8825
80000,2899
80000,2806
80000,4168
80000,2927
80000,2920
80000,2912
80000,4138
80000,4839
80000,3035
80000,2973
80000,4428
80000,5323
80000,2480
80000,3259
80000,4530
80000,5462
80000,3075
80000,3179
80000,4885
80000,4940
80000,3571
80000,3013
80000,3392
80000,2860
80000,5350
80000,7036
80000,4321
80000,2692
80000,2969
80000,4817
80000,4002
80000,2997
80000,3595
80000,4824
80000,4179
80000,3207
80000,2875
80000,5135
80000,4299
80000,2919
80000,3945
80000,4833
80000,4483
80000,3295
80000,3100
80000,4540
80000,4144
80000,3055
80000,2919
80000,5381
80000,4275
80000,2979
80000,2984
80000,4816
80000,4438
80000,3132
80000,3077
80000,5704
80000,5290
80000,2846
80000,3082
80000,4903
80000,4207
80000,2952
80000,2940
80000,4985
80000,4422
80000,3202
80000,2838
80000,5066
80000,3963
80000,2807
80000,3217
80000,4611
80000,4283
80000,3133
80000,3013
80000,6010
80000,4274
80000,3024
80000,3208
80000,5153
80000,3145
80000,3033
80000,3008
80000,2900
80000,5357
80000,3016
80000,2898
80000,2641
80000,6379
80000,3282
80000,3203
80000,2849
80000,6403
80000,3050
80000,3181
80000,3037
80000,6259
80000,3005
80000,5268
80000,2914
80000,6177
80000,3684
80000,3120
80000,2936
80000,6131
80000,2853
80000,3240
80000,3296
80000,6398
80000,2871
80000,2851
80000,3159
80000,6142
80000,2886
80000,2884
80000,2623
80000,3916
80000,3059
80000,2997
80000,2769
80000,9888
80000,2776
80000,2831
80000,2846
80000,4449
80000,2998
80000,2828
80000,2776
80000,4327
80000,2555
80000,2855
80000,3797
80000,7290
80000,3053
80000,3085
