interval,rtt
110000,107058
110000,2601
110000,90052
110000,5137
110000,3208
110000,3115
110000,3240
110000,4961
110000,49942
110000,3115
110000,134619
110000,24554
110000,3043
110000,112456
110000,2271
110000,91041
110000,2783
110000,180894
110000,70745
110000,2888
110000,158210
110000,48159
110000,3949
110000,133312
110000,23129
110000,3254
110000,114445
110000,5491
110000,95125
110000,3190
110000,78697
110000,3243
110000,62274
110000,2903
110000,151910
110000,41823
110000,4818
110000,230329
110000,120234
110000,10116
110000,2784
110000,198333
110000,88161
110000,5032
110000,72147
110000,2543
110000,4308
110000,2981
110000,41265
110000,4735
110000,2777
110000,123617
110000,13505
110000,3109
110000,3653
110000,9537
110000,3395
110000,179449
110000,69346
110000,2962
110000,53234
110000,3039
110000,140316
110000,30207
110000,2789
110000,3561
110000,4256
110000,104138
110000,2689
110000,83184
110000,3120
110000,69995
110000,2761
110000,54452
110000,2794
110000,140520
110000,30445
110000,2870
110000,117174
110000,7066
110000,203853
110000,93768
110000,4476
110000,75783
110000,3143
110000,164430
110000,54347
110000,3877
110000,145401
110000,35235
110000,3171
110000,117855
110000,7693
110000,104651
110000,2312
110000,190491
110000,80344
110000,2904
110000,65093
110000,5822
110000,152048
110000,41945
110000,3082
110000,128963
110000,18802
110000,3555
110000,205983
110000,95894
110000,2818
110000,185344
110000,75261
110000,3065
110000,161452
110000,51240
110000,2912
110000,139801
110000,29711
110000,2978
110000,216789
110000,106730
110000,2687
110000,91550
110000,2962
110000,77636
110000,3132
110000,60600
110000,2937
110000,42743
110000,2664
110000,132691
110000,22632
110000,3131
110000,108578
110000,2408
110000,92916
110000,2623
110000,75703
110000,4654
110000,165269
110000,55161
110000,2957
110000,139257
110000,29145
110000,2923
110000,117587
110000,7481
110000,100475
110000,2541
110000,187382
110000,77215
110000,4866
110000,60446
110000,2919
110000,48022
110000,4558
110000,132869
110000,22785
110000,3255
110000,212025
110000,101940
110000,2889
110000,85958
110000,2881
110000,174673
110000,64606
110000,2772
110000,153382
110000,43177
110000,2720
110000,127440
110000,17346
110000,2854
110000,207773
110000,97677
110000,2513
110000,3070
110000,2954
110000,70995
110000,2697
110000,154628
110000,44522
110000,3126
110000,130433
110000,20367
110000,2969
110000,105707
110000,4887
110000,2582
110000,184270
110000,74189
110000,4142
110000,164255
110000,54152
110000,2866
110000,139067
110000,28985
110000,3068
110000,217693
110000,107608
110000,5033
110000,193269
110000,83177
110000,2936
110000,174686
110000,64601
110000,2825
110000,147425
110000,37256
110000,2916
110000,230810
110000,120712
110000,10580
110000,2854
110000,92783
110000,3252
110000,77597
110000,3828
110000,67919
110000,5260
110000,149013
110000,38925
110000,3017
110000,228904
110000,118832
110000,8727
110000,3147
110000,197369
110000,87205
110000,2959
110000,70778
110000,2622
110000,157785
110000,47619
110000,3027
110000,136355
110000,26192
110000,2858
110000,111087
110000,3146
110000,94527
110000,3546
110000,81010
110000,2842
110000,64323
110000,4473
110000,48798
110000,3060
110000,139782
110000,29649
110000,2964
110000,112083
110000,3569
110000,201482
110000,91331
110000,2593
110000,73673
110000,3195
110000,61085
110000,3103
110000,42936
110000,3012
110000,132676
110000,22574
110000,2628
110000,210114
110000,100031
110000,2627
110000,85823
110000,2586
110000,68246
110000,3140
110000,53476
110000,2852
110000,51692
110000,2675
110000,122891
110000,12737
110000,3036
110000,4949
110000,199907
110000,89700
110000,2649
110000,69119
110000,5129
110000,55781
110000,3002
110000,142183
110000,32095
110000,4732
110000,220499
110000,110299
110000,2823
110000,92650
110000,2974
110000,182837
110000,72652
110000,3244
110000,54697
110000,3369
110000,47954
110000,2974
110000,126862
110000,16700
110000,2777
110000,105740
110000,2864
110000,2811
110000,2764
110000,76838
110000,3019
110000,54608
110000,3036
110000,42476
110000,6351
110000,232185
110000,121999
110000,11804
110000,2906
110000,95838
110000,2563
110000,79474
110000,2542
110000,66305
110000,4804
110000,49730
110000,3053
110000,139550
110000,29457
110000,7883
110000,217337
110000,107196
110000,2310
110000,88901
110000,5050
110000,77160
110000,3166
110000,61040
110000,3408
110000,44576
110000,2915
110000,133511
110000,23407
110000,8137
110000,3289
110000,204306
110000,94215
110000,2882
110000,80692
110000,2892
110000,62512
110000,3234
110000,46727
110000,3505
110000,133531
110000,23445
110000,3249
110000,215621
110000,105533
110000,2578
110000,92127
110000,2548
110000,72032
110000,2748
110000,56958
110000,3079
110000,144105
110000,34013
110000,2972
110000,118239
110000,8171
