interval,rtt
10000,138941
10000,128878
10000,118801
10000,108728
10000,98651
10000,88585
10000,78421
10000,68314
10000,58208
10000,48109
10000,38042
10000,27967
10000,17855
10000,7733
10000,2446
10000,2824
10000,3157
10000,3344
10000,3968
10000,3592
10000,2589
10000,2887
10000,4798
10000,3253
10000,2593
10000,2434
10000,2495
10000,2705
10000,2556
10000,2915
10000,3634
10000,2739
10000,2766
10000,2814
10000,2490
10000,2558
10000,2922
10000,3446
10000,4631
10000,2994
10000,2675
10000,3808
10000,2786
10000,6029
10000,2718
10000,5121
10000,2760
10000,2558
10000,3807
10000,2990
10000,2412
10000,2603
10000,2458
10000,2830
10000,4254
10000,2339
10000,2641
10000,2518
10000,2303
10000,2168
10000,2231
10000,2030
10000,2552
10000,2262
10000,2077
10000,2068
10000,2423
10000,2079
10000,2097
10000,2839
10000,4078
10000,2029
10000,5402
10000,3338
10000,2503
10000,2051
10000,2539
10000,2128
10000,2327
10000,2245
10000,2141
10000,2444
10000,2372
10000,2611
10000,2689
10000,2136
10000,4152
10000,2326
10000,2202
10000,2234
10000,2218
10000,2693
10000,2107
10000,2474
10000,2216
10000,2237
10000,2082
10000,2500
10000,2046
10000,2104
10000,2236
10000,2336
10000,4003
10000,3134
10000,2181
10000,1990
10000,3062
10000,2086
10000,2110
10000,2386
10000,2023
10000,2383
10000,2630
10000,2655
10000,2142
10000,4177
10000,2849
10000,2281
10000,5083
10000,2751
10000,3387
10000,3132
10000,2646
10000,2529
10000,2693
10000,2918
10000,2244
10000,2399
10000,2167
10000,2543
10000,2229
10000,2301
10000,2221
10000,4047
10000,5727
10000,2335
10000,2857
10000,2474
10000,2330
10000,2268
10000,2940
10000,2513
10000,2195
10000,2279
10000,2341
10000,2763
10000,2093
10000,2552
10000,2422
10000,2071
10000,3722
10000,2227
10000,2240
10000,2809
10000,2431
10000,2814
10000,2387
10000,2135
10000,2109
10000,2742
10000,2406
10000,2413
10000,4539
10000,4353
10000,2396
10000,2445
10000,8810
10000,2332
10000,2522
10000,2200
10000,2214
10000,2342
10000,2826
10000,2464
10000,2384
10000,2427
10000,2766
10000,2259
10000,2325
10000,2532
10000,2332
10000,2836
10000,2060
10000,4391
10000,2883
10000,2717
10000,2709
10000,2401
10000,2571
10000,2464
10000,2675
10000,2464
10000,2147
10000,3782
10000,2422
10000,2244
10000,2610
10000,2166
10000,2144
10000,4545
10000,2173
10000,2238
10000,2272
10000,2853
10000,2439
10000,4788
10000,2400
10000,2483
10000,2814
10000,2414
10000,2646
10000,2403
10000,2694
10000,2464
10000,2573
10000,4658
10000,2674
10000,2697
10000,3368
10000,3194
10000,3576
10000,3396
10000,2566
10000,3476
10000,3842
10000,2615
10000,2283
10000,2532
10000,2536
10000,2700
10000,3866
10000,7096
10000,2556
10000,2788
10000,2335
10000,2787
10000,3653
10000,3453
10000,2499
10000,4674
10000,2316
10000,2478
10000,2594
10000,2277
10000,2509
10000,2185
10000,2483
10000,4638
10000,2442
10000,2826
10000,2226
10000,2267
10000,2058
10000,3555
10000,2151
10000,2224
10000,2504
10000,2122
